Epoch	AverageEpRet_real	StdEpRet_real	MaxEpRet_real	MinEpRet_real	EpRet_her	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Alpha	Time
1	0.25714284	0.47164497	1.0	-0.1	-568.4286	3999	-7.312254	3.703875	0.08192022	-14.088412	-7.312657	3.703152	0.019997954	-14.117285	-1.8617935	0.7247286	8.356982	-11.297208	6.3842397	0.01667694	0.015979454	69.49358677864075
2	0.14285713	0.448353	1.0	-0.1	-263.14285	7999	-21.619394	4.4097977	-12.684015	-30.299482	-21.619398	4.409761	-12.741584	-30.312235	2.2466743	2.4663904	15.09075	-12.9798355	20.834047	0.014597336	0.0013843443	153.26015448570251
3	0.00833333	0.30127048	1.0	-0.1	-359.16666	11999	-35.27119	3.4631526	-26.182058	-43.85589	-35.271187	3.4630864	-26.231636	-43.60471	3.286075	3.0101478	40.049583	-11.121428	34.63262	0.034348175	0.003973248	233.43159675598145
4	0.25	0.49244288	1.0	-0.1	-385.1	15999	-45.67388	3.3329723	-35.355076	-55.030342	-45.673805	3.3342495	-35.302956	-55.160866	2.9051738	2.9465556	15.586089	-9.952857	45.1414	0.050499957	0.0068873027	313.7370626926422
5	0.057142846	0.38491985	1.0	-0.1	-261.85715	19999	-54.69483	3.2988522	-39.145832	-64.18866	-54.694817	3.2981672	-39.450657	-64.37349	2.98365	2.6566923	25.122688	-10.729489	54.2483	0.04966503	0.0044261417	394.23656272888184
6	0.17500003	0.47631398	1.0	-0.1	-217.5	23999	-61.65349	3.2315361	-40.295185	-71.57792	-61.653477	3.2313166	-39.873436	-71.6671	2.9989784	2.7115526	40.667023	-12.894987	61.27707	0.045044653	0.0049009523	476.57538175582886
7	0.37142855	0.5443588	1.0	-0.1	-190.33333	27999	-66.94848	3.4371395	-43.865215	-77.74656	-66.94845	3.4371302	-43.556274	-77.73147	3.0086994	3.1433086	66.91147	-11.581657	66.62782	0.04698093	0.0046454277	558.7861793041229
8	0.057142854	0.38491982	1.0	-0.1	-288.7857	31999	-71.17033	3.6931684	-47.20013	-82.7747	-71.17029	3.6929023	-47.068157	-82.57268	2.9967136	2.929629	80.02518	-12.072767	70.89421	0.04688562	0.004887763	642.6752688884735
9	-0.015384616	0.2931163	1.0	-0.1	-313.15384	35999	-74.62514	3.8393734	-51.61928	-86.76369	-74.62516	3.8387702	-51.366367	-86.64664	3.0234165	3.1329908	87.38317	-10.674657	74.3844	0.043592423	0.0052616796	726.3513207435608
10	0.1357143	0.45135853	1.0	-0.1	-267.57144	39999	-77.50792	3.6738951	-57.46569	-89.66204	-77.507935	3.6734505	-57.213085	-89.38051	2.9701931	2.9360104	82.93628	-10.977376	77.29586	0.039104804	0.004721479	806.0900702476501
11	0.009999999	0.32999998	1.0	-0.1	-383.6	43999	-80.05901	3.4273992	-61.523956	-91.470535	-80.059	3.4272668	-61.71568	-91.7893	2.9901683	2.653771	64.708694	-12.278496	79.87225	0.037266865	0.0036259927	885.1700162887573
12	-0.1	0.0	-0.1	-0.1	-247.38889	47999	-82.43717	3.1412604	-66.351326	-93.45555	-82.437195	3.1411715	-66.7153	-93.35344	2.9781578	3.1753922	72.360596	-11.725547	82.273186	0.037471276	0.0030759373	965.4780759811401
13	0.2066667	0.4795368	1.0	-0.1	-260.26666	51999	-84.61359	2.8270357	-68.9894	-94.31281	-84.61357	2.8272212	-69.14621	-94.28202	2.994729	3.5040615	67.90345	-11.07747	84.470474	0.038410455	0.0030579509	1044.958241224289
14	0.23000002	0.50408334	1.0	-0.1	-187.45	55999	-86.59753	2.5799413	-69.65171	-94.7915	-86.59751	2.5799763	-69.74868	-94.711266	3.0005934	3.1252275	56.089523	-12.32387	86.47365	0.03698114	0.0024949713	1126.1443343162537
15	-0.084615394	0.036080122	0.0	-0.1	-333.92307	59999	-88.43039	2.4114695	-70.65415	-94.860054	-88.43036	2.4113271	-70.6574	-94.62705	2.9677553	3.1209779	51.064743	-12.74387	88.3227	0.036218654	0.0020391708	1207.4827797412872
16	0.21111111	0.48977193	1.0	-0.1	-192.27777	63999	-90.11404	2.2788682	-70.001396	-95.87339	-90.11403	2.278507	-69.923805	-95.66413	3.1615956	4.9524965	123.062904	-10.511599	90.02104	0.039723422	0.0021236893	1288.803783416748
17	0.5	0.5354126	1.0	-0.1	-296.73334	67999	-91.6575	2.1732705	-70.1703	-96.8218	-91.65752	2.1714249	-70.118484	-96.664055	2.9434268	5.3975883	67.540596	-12.811271	91.576096	0.05980514	0.0052417284	1370.2762551307678
18	0.50454545	0.54312	1.0	-0.1	-186.40909	71999	-92.96244	2.1646428	-69.13253	-97.8945	-92.96239	2.1657152	-69.28141	-97.722694	2.949581	4.1391697	42.06328	-11.123683	92.893745	0.040945314	0.002466001	1455.157104730606
19	0.16666667	0.4472136	1.0	-0.1	-334.66666	75999	-93.83793	2.2994826	-69.40817	-98.46945	-93.83794	2.2997465	-69.02547	-98.79111	3.0135093	3.928842	41.495335	-11.434931	93.77682	0.03964918	0.002095338	1538.803437948227
20	0.33125	0.51927686	1.0	-0.1	-296.4375	79999	-94.47188	2.4305446	-67.45105	-99.65011	-94.47182	2.4309998	-66.87676	-99.68139	3.0341184	3.9209123	41.41097	-11.773689	94.41484	0.038107976	0.002745149	1623.6664152145386
21	0.5	0.5406549	1.0	-0.1	-272.46155	83999	-94.78876	2.5308204	-64.74981	-100.638054	-94.78873	2.5313551	-64.73877	-100.88942	3.0160222	3.5020654	48.489357	-12.860432	94.73422	0.0382748	0.0035547595	1706.4465589523315
22	0.29999998	0.4966555	1.0	-0.1	-476.8889	87999	-94.91847	2.6223443	-65.13325	-101.58689	-94.91848	2.6229274	-64.91915	-102.05298	3.0163877	3.3781319	49.741325	-12.791349	94.86459	0.037398376	0.003693271	1788.5029361248016
23	0.4	0.48989797	1.0	0.0	-756.6	91999	-94.96467	2.7398045	-64.694626	-102.56817	-94.96467	2.7397327	-64.76	-102.74302	2.9913464	3.213852	57.98136	-11.915523	94.911415	0.03690339	0.003630605	1870.611534833908
24	0.3	0.4966555	1.0	-0.1	-504.1111	95999	-94.94414	2.921554	-64.40935	-103.12409	-94.94416	2.921508	-64.46688	-103.41123	3.00132	3.1347775	40.01373	-11.278135	94.89139	0.038011637	0.0035171255	1953.1652858257294
25	0.03333333	0.3431877	1.0	-0.1	-417.0	99999	-94.83232	3.1343434	-65.16122	-103.63629	-94.83228	3.1345026	-65.07528	-103.5817	2.9942627	3.1597888	42.355633	-15.520925	94.77994	0.041322608	0.0033978806	2036.3672790527344
26	0.51818186	0.5288378	1.0	-0.1	-389.18182	103999	-94.7518	3.3730223	-64.70276	-104.17747	-94.75181	3.3727171	-64.761765	-104.29792	3.0162106	3.1044567	47.86276	-12.534189	94.70017	0.042047013	0.0034171864	2119.540643930435
