Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Alpha	Time
1	-0.025	0.04330127	0.0	-0.1	919.75	3999	0.37220594	0.094374046	0.4728128	-0.028393935	0.3722041	0.09435299	0.46971524	-0.044963285	-2.0461955	0.2162493	-0.9891057	-6.7512684	-0.3761788	0.00026131072	0.015970834	38.87528085708618
2	-0.1	0.0	-0.1	-0.1	337.91666	7999	0.41643688	0.023293614	0.4788351	0.3128364	0.41643915	0.023160804	0.46985602	0.33041918	-0.0978417	2.4568424	22.584492	-10.065153	-0.4210805	0.0004329479	0.00066079345	92.31010270118713
3	-0.1	0.0	-0.1	-0.1	204.52632	11999	0.33462173	0.023544049	0.40111563	0.24457379	0.33462733	0.023467964	0.3957104	0.24104217	2.8865294	2.231045	27.766205	-10.595794	-0.33901754	0.000847531	0.00014372882	149.62010049819946
4	-0.1	0.0	-0.1	-0.1	253.41176	15999	0.26770803	0.019936666	0.32145846	0.20205255	0.2677102	0.019889986	0.32168016	0.19570476	3.0108204	1.8857778	8.965164	-9.331661	-0.27150825	0.0007790593	0.0001431956	204.35814952850342
5	-0.09999999	1.4901161e-08	-0.1	-0.1	160.08696	19999	0.21075447	0.018768823	0.2694523	0.16180123	0.2107598	0.018708147	0.2712064	0.15012059	3.0215087	2.0519187	16.938177	-11.668148	-0.21395537	0.00064499024	0.000113751725	259.4617621898651
6	-0.099999994	7.450581e-09	-0.1	-0.1	197.19048	23999	0.1691621	0.014797618	0.22177134	0.12642975	0.16917436	0.014707284	0.22278583	0.07858758	2.9291165	2.7665172	17.617065	-10.817786	-0.17194465	0.0005618053	0.00015115764	313.6807208061218
7	0.1357143	0.4513585	1.0	-0.1	296.42856	27999	0.13273308	0.01180818	0.17661656	0.094414465	0.1327515	0.01179082	0.18114921	-0.042277344	2.9821935	1.9549869	11.848259	-10.690731	-0.13494284	0.00050764764	8.3730956e-05	367.91268157958984
8	-0.047619052	0.23425473	1.0	-0.1	184.33333	31999	0.110370666	0.015186799	0.17618681	0.07867833	0.11038074	0.015187714	0.17507538	-0.045376733	3.0414262	1.8581097	9.602987	-12.40991	-0.11217776	0.00056478445	0.00011569381	420.024272441864
9	-0.1	0.0	-0.1	-0.1	380.54544	35999	0.09684444	0.01896187	0.1718992	0.059635602	0.096849315	0.018963315	0.17576757	-0.10052477	3.0065231	2.3610265	11.802902	-10.376045	-0.09847073	0.00047729682	0.00012581809	471.4962513446808
10	-0.10000001	7.450581e-09	-0.1	-0.1	288.92307	39999	0.08439297	0.025785528	0.17753318	0.03821838	0.08439167	0.0257967	0.17243704	-0.10184562	2.9930477	2.3899121	11.273815	-10.261017	-0.08584244	0.00042260555	0.00012350253	523.3778023719788
11	-0.10000001	7.450581e-09	-0.1	-0.1	279.2857	43999	0.07253842	0.031976487	0.19020735	0.024373228	0.072539456	0.031992238	0.18594405	-0.11241438	2.9839938	2.4490643	14.106604	-12.33638	-0.073801465	0.00040297577	0.00010588215	575.2848575115204
12	0.3090909	0.5230236	1.0	-0.1	369.0909	47999	0.061845034	0.034051687	0.19173501	0.012651303	0.06184418	0.034061678	0.18693231	-0.13550985	3.0138228	2.3312151	12.685247	-11.368438	-0.06299126	0.00039059043	0.00010234022	627.0483877658844
13	-0.021428572	0.2832933	1.0	-0.1	305.35715	51999	0.059099667	0.041678324	0.22023991	0.008499917	0.059099533	0.0416825	0.21856439	-0.107638046	3.0113256	2.642045	12.659958	-9.756582	-0.060092993	0.00052328105	0.000111820176	679.6080572605133
14	0.06428571	0.38285983	1.0	-0.1	279.57144	55999	0.061532155	0.053810608	0.2852087	0.003500728	0.0615323	0.05380752	0.28796035	-0.083133474	2.9738007	2.453778	12.154394	-10.3215475	-0.06256021	0.0005036455	0.00010890501	734.5956490039825
15	-0.03888889	0.25196758	1.0	-0.1	221.72223	59999	0.060206	0.057416193	0.30507332	-0.003502856	0.060204875	0.057420827	0.30640295	-0.09635535	3.0237265	2.7181356	18.637033	-12.461148	-0.061219323	0.00049972016	8.759767e-05	787.9789619445801
16	0.01	0.32999998	1.0	-0.1	189.15	63999	0.05815555	0.058101907	0.30058333	-0.009293094	0.058156323	0.058103167	0.29949436	-0.111883	2.940618	2.9214332	18.867002	-11.509987	-0.059080306	0.00055379345	8.338608e-05	840.682656288147
17	-0.03125	0.2662676	1.0	-0.1	267.875	67999	0.053049233	0.053787336	0.2718181	-0.011138029	0.053048804	0.053791385	0.27075857	-0.1460899	2.978608	3.22254	39.18903	-11.139127	-0.05395331	0.0005577272	8.033584e-05	895.525723695755
18	-0.1	0.0	-0.1	-0.1	220.72223	71999	0.04752237	0.049286585	0.25519383	-0.0096739875	0.047522563	0.04928863	0.2551911	-0.1509855	3.0073204	2.4305727	15.741957	-11.897544	-0.04836094	0.00052616285	6.727348e-05	950.4908120632172
19	-0.02666667	0.2743882	1.0	-0.1	265.73334	75999	0.043019384	0.044775773	0.23451841	-0.011917105	0.04301976	0.044781394	0.23566172	-0.13495971	2.968325	2.0182326	11.494677	-9.746274	-0.04382575	0.00044953328	4.9817427e-05	1004.5802478790283
20	0.13571428	0.4513585	1.0	-0.1	284.07144	79999	0.038963623	0.038899258	0.2078568	-0.010115043	0.03896311	0.03890349	0.20921616	-0.102265626	3.0131207	2.4188066	20.427696	-10.774907	-0.03966587	0.0005289533	4.5088123e-05	1059.0977585315704
21	-0.1	0.0	-0.1	-0.1	235.29411	83999	0.03808639	0.03579881	0.19344601	-0.0111461	0.03808708	0.035798293	0.19600213	-0.034678128	2.9849215	2.328899	20.299232	-11.834701	-0.038729332	0.00057846255	4.5216304e-05	1115.6461236476898
22	-0.03888889	0.2519676	1.0	-0.1	220.44444	87999	0.036868837	0.035847936	0.18667185	-0.010929706	0.036868848	0.035852008	0.18688624	-0.07316255	3.023654	2.6495411	20.450243	-14.448136	-0.037493758	0.00057984696	5.7172678e-05	1169.7260575294495
23	-0.09285716	0.025753941	0.0	-0.1	290.85715	91999	0.03328045	0.03391467	0.17504695	-0.012033269	0.0332806	0.033911344	0.17615242	-0.07616314	2.9712863	3.3981504	19.622362	-10.199686	-0.033918884	0.0004443971	6.080427e-05	1224.2970774173737
24	-0.03125	0.2662676	1.0	-0.1	243.0625	95999	0.026881317	0.030698676	0.14738813	-0.018089958	0.026881361	0.030708764	0.1548507	-0.09824671	2.964886	3.5707002	26.667747	-9.829741	-0.027414406	0.0005410549	5.2419477e-05	1278.6050515174866
25	-0.03529412	0.25882354	1.0	-0.1	236.82353	99999	0.02459526	0.030556979	0.12612823	-0.021253083	0.024594523	0.030558247	0.12690559	-0.044169158	2.9723263	2.1481	11.196547	-9.394423	-0.025087975	0.00045994163	3.3665303e-05	1334.6698319911957
26	-0.1	0.0	-0.1	-0.1	258.5625	103999	0.022262493	0.030984612	0.13784462	-0.02238713	0.02226324	0.030986834	0.13671853	-0.033579394	3.0843105	2.5861294	40.13179	-11.616592	-0.022778079	0.00044423225	3.3245324e-05	1389.6904306411743
27	-0.10000001	7.450581e-09	-0.1	-0.1	249.26666	107999	0.019017061	0.030530632	0.14065126	-0.027730418	0.01901694	0.030537633	0.14452632	-0.02796589	2.8970573	3.2710423	29.182453	-10.02836	-0.019444885	0.0004648311	3.5710127e-05	1445.6891992092133
28	0.02222222	0.34569666	1.0	-0.1	229.94444	111999	0.01671883	0.029636895	0.124388136	-0.02831662	0.016718613	0.029643593	0.12158443	-0.02670152	3.010345	2.1293843	18.207352	-13.011196	-0.017105721	0.00055478467	2.6777134e-05	1500.3157286643982
29	-0.045000006	0.23973946	1.0	-0.1	202.8	115999	0.0141653335	0.029436344	0.121457145	-0.030618869	0.01416521	0.029439922	0.11356329	-0.03169137	3.017948	3.2662034	24.75835	-11.527311	-0.014556448	0.00047356982	3.143312e-05	1555.134292125702
30	-0.04210527	0.24562658	1.0	-0.1	201.6842	119999	0.01340393	0.030194977	0.11988253	-0.029211994	0.013403822	0.030200653	0.119641386	-0.02968224	3.0030973	2.6278906	17.042875	-12.353886	-0.013731346	0.00054712326	3.284287e-05	1609.958356142044
31	-0.1	0.0	-0.1	-0.1	223.1579	123999	0.010894857	0.030120216	0.120262854	-0.03050891	0.010894837	0.030126775	0.11799678	-0.03242866	2.9635956	2.2144396	15.889148	-12.744822	-0.011199116	0.0005144329	2.271467e-05	1664.8479313850403
32	-0.03125	0.2662676	1.0	-0.1	250.5	127999	0.008964112	0.029764008	0.11063823	-0.032641858	0.0089641465	0.029767606	0.10863365	-0.035538208	3.0167103	2.9210649	32.159184	-10.169047	-0.009257078	0.00049399055	2.8398961e-05	1719.569977760315
33	-0.1	0.0	-0.1	-0.1	188.25	131999	0.0070109623	0.029831616	0.10916654	-0.035132304	0.0070110993	0.029841209	0.107086755	-0.035005193	3.003881	2.2935274	13.484976	-11.125754	-0.0072632493	0.00050061784	2.3509396e-05	1774.1770038604736
34	-0.1	0.0	-0.1	-0.1	224.0	135999	0.0048875	0.029864613	0.11176641	-0.036031876	0.0048875907	0.029870987	0.11147093	-0.036202513	2.9757478	2.1855633	17.471523	-10.604563	-0.005136914	0.00052652205	1.8321309e-05	1828.7575252056122
35	-0.04210527	0.24562658	1.0	-0.1	212.89473	139999	0.006151526	0.031273074	0.10966224	-0.035426818	0.006150866	0.031271446	0.109066784	-0.03519644	3.0645797	3.1244037	29.356028	-11.812723	-0.006418205	0.00049966207	2.583334e-05	1883.3750534057617
36	-0.10000001	7.450581e-09	-0.1	-0.1	267.2143	143999	0.0049872985	0.030537168	0.111173674	-0.042614534	0.004988265	0.03054352	0.10782369	-0.03298064	2.9884965	4.062814	46.45182	-12.130765	-0.0052507087	0.00045345753	3.203732e-05	1937.7640414237976
37	-0.026666667	0.2743882	1.0	-0.1	279.13333	147999	0.003982035	0.030099008	0.11301376	-0.034710523	0.003981685	0.030105155	0.10656505	-0.031414602	2.9363303	2.5339725	29.679495	-10.011395	-0.0042228308	0.00042479648	1.6935766e-05	1992.1975374221802
38	0.015789473	0.33758146	1.0	-0.1	210.63158	151999	0.0026433796	0.028276442	0.10567327	-0.036096327	0.002643428	0.028284626	0.104953535	-0.027982892	3.0784857	3.1716273	22.013998	-14.927943	-0.0028949238	0.00040814644	2.4072644e-05	2046.8870782852173
39	-0.03125	0.2662676	1.0	-0.1	260.375	155999	0.0015116106	0.027249651	0.10159466	-0.036542952	0.0015114013	0.02725236	0.099025756	-0.02752969	2.9876893	2.962676	32.757595	-10.971765	-0.0017561875	0.0003702185	1.5468744e-05	2101.344578027725
40	0.046666656	0.3739281	1.0	-0.1	269.53333	159999	0.0016831488	0.02766678	0.0982068	-0.0478587	0.0016835518	0.027669616	0.098327935	-0.0283707	2.9679675	2.8566394	25.023664	-9.945225	-0.0018624902	0.00050021516	1.5172665e-05	2156.6912336349487
41	-0.03125	0.2662676	1.0	-0.1	244.375	163999	0.0028756887	0.028721891	0.10246271	-0.046732694	0.00287561	0.02873012	0.10198502	-0.028708799	2.9722247	2.914385	20.493032	-13.118074	-0.0030528398	0.00052888837	1.5968802e-05	2211.0597178936005
42	-0.1	0.0	-0.1	-0.1	201.85	167999	0.0019898529	0.028286148	0.09622511	-0.035799183	0.0019897968	0.028287666	0.096360326	-0.02765794	3.115405	3.2414632	24.50314	-13.467264	-0.0022631874	0.00037124325	1.5386837e-05	2265.459208011627
43	-0.03888889	0.25196758	1.0	-0.1	221.44444	171999	0.0010181336	0.027174976	0.09513721	-0.03639785	0.0010180954	0.027179727	0.09181827	-0.0282357	2.9597328	2.782436	15.119686	-12.16228	-0.0012294288	0.00042872698	1.4533211e-05	2319.988220691681
